,A/C,ABS,Adjustable Driver Seat,Alternator (Amps),Arm-rest,Axle Configuration,Axle Types,Battery(Volts),Body Brakes,Body Material,Body Option,Brakes,Bulker Air Inlet Pipe,Bulker Discharge Pipe,Bulker Electricals,Bulker Equipments,Bulker Pressure,Bulker Type,Cabin Type,Canopy Length,Chassis,Chassis Type,Clutch,Company,Cruise Control,Displacement (cc),Driver Information Display,Electricals,Emission Norms,Engine,Engine Cylinders,Engine Displacement,External/Interior Surface,Floor Material,Floor Type,Fog Lights,Front Axle,Front Suspension,Front Tyre,Fuel Tank (Litres),Fuel Type,GVW / GCW (Kgs),Gearbox,Gradeability (%),Ground Clearance (mm),Height {mm (ft.)},Hill Hold,Kerb Weight (Kgs),Landing Gear,Length {mm (ft.)},Loading Platform Area(Sq.ft),Max Power,Max Speed (km/h),Max Torque,Mileage,Model,Navigation System,No. Of Axles,No. Of Valves,Number of Tyre,Overall Height (mm),Overall Length (mm),Overall Width (mm),Parking Brakes,Payload (Kgs),Power Steering,Pump Type,Rear Axle,Rear Board Material,Rear Suspension,Rear Tyre,Refrigerating Unit,Seat Belts,Seat Type,Seating Capacity,Side Board Material,Size (Cu. M),Steering,Telematics,Temperature Range,Tiltable Cabin,Tiltable Steering,Transmission,Tubeless Tyres,Turning Radius (mm),Water Tank Capacity (KL),Water Tank Type,Wheelbase (mm),Width {mm (ft.)}
361,No ,No ,No ,,No ,,,12 V 50 /60 Ah ,,,,Drum Brake ,,,,,,,Day Cabin ,,,Chassis with Cabin ,Wet Multiplate Clutch ,ATUL,No ,435 cc,Yes ,,BS-IV ,Four stroke air cooled single cylinder di ,1,,,,,No ,,Leading link with dual action shock absorber ,4.5 - 10 - 8 PR ,10.5 Ltr,,995,4-Speed ,,160,,No ,434,,,,8 bhp  ,,21 Nm  ,,GEM-PAXX,No ,,,3,1830,2930,1450,Yes ,,No ,,,,Swing Arm Triangle with Heavy Duty Rubber Spring & Dual Acting Shock Absorbers ,4.5 - 10 - 8 PR ,,No ,Standard ,D+3 ,,,Handle Bar ,No ,,No ,No ,Manual ,No ,3200,,,1925 mm,
362,Yes ,No ,Yes ,,No ,6x4 ,No ,,Spring Actuated ,No ,Trailer Body ,Air Brakes ,No ,No ,No ,No ,,No ,Sleeper Cabin ,No ,No ,Chassis with Cabin ,"Singledry Plate Coil Spring Type , Hydro Pneumatically Operated ",AMW,No ,5883 cc,No ,24 V ,BS-III ,"CuMmins - B 5.9 180 31, DI - TurboCharged after Cooled ",6,,No ,No ,No ,Yes ,Forged I Beam - Reverse Elliot Type ,Semi Elliptical Leaf Springs ,10 x 20 - 16PR ,400 Ltr,,44000,9-Speed ,23.9,284,No ,No ,7690,No ,No ,,235bhp  ,60,836Nm  ,,4923-TR,No ,3,No ,,3050,6610,2475,Spring Actuated On Rear Axles ,36310 Kgs,Yes ,No ,Fully Floating Rear Axle With Hypoid Bevel Gears For Forward Rear Axle & Heavy Duty Tubular Trailing Dummy Axle ,No ,Fully Articulated Inverted Semi Elliptical Leaf Springs On Tandem Bogie With Torque Rods ,10.00 X 20 – 16PR ,No ,Yes ,Standard ,,No ,No ,Adjustable Steering ,No ,No ,Yes ,Yes ,Manual ,No ,4225,No ,No ,3850 mm,No 
363,No ,No ,Yes ,,No ,. ,NA ,,NA ,NA ,Customizable ,Hydraulic Brakes ,NA ,NA ,NA ,NA ,. ,NA ,Day Cabin ,NA ,Yes ,Chassis with Cabin ,310 mm dia ,EICHER,No ,0 cc,Yes ,12 V ,BS-IV ,E483 4Cyl 2V CRS Engine ,4,,NA ,NA ,NA ,No ,. ,Semi-elliptical laminated leaves (with shock absorber) ,7.50 x 16 - 16PR ,60 Ltr,,6250,5-Speed ,42,210,2240,NA ,,NA ,4835,,95 bhp  ,,300 Nm  ,,PRO-1055-T,No ,NA ,NA ,,,,,Yes ,,Yes ,NA ,. ,NA ,Semi-elliptical laminated leaves (with shock absorber) ,7.50 X 16 - 16PR ,NA ,Yes ,Standard ,,NA ,NA ,Power Steering ,No ,NA ,. ,Yes ,Manual ,Yes ,5500,NA ,NA ,2815 mm,2020
364,No ,Yes ,Yes ,,No ,4x2 ,,24,,,Customizable ,"Pneumatic, Foot Operated, Dual Line Fully S-cam, Dual Circuit ",,,,,,,Day Cabin ,,Yes ,Chassis with Cabin ,Single dry plate hydraulic actuated ,BHARAT-BENZ,No ,3900 cc,Yes ,,BS-VI ,4D34i ,4,,,,,,IF 4.5 ,Multileaf spring ,8.25x20 ,171/160 Ltr,Diesel ,12800,6-Speed ,24.26,245,,,,,4450,,147 bhp  ,80,460 Nm ,,1215RE-BS6,No ,,,6,2500,6380,2135,Yes ,,Yes ,,Dana S 145 ,,Multileaf spring ,8.25x20 ,,Yes ,Standard ,D+1 ,,14.6(ft) ,Power Steering ,,,,No ,Manual ,No ,6700,,,3360 mm,
365,Optional ,,,,,4x2 ,. ,,Hydraulic Vacuum assisted ,. ,Deck Body ,Hydraulic Brakes ,. ,. ,,. ,. ,. ,Day Cabin ,. ,. ,Chassis with Cabin ,"260 mm dia., Single plate diaphragm type ",SML-ISUZU,,3455 cc,,. ,BS-IV ,SLT4 & Numeral ,4,,. ,. ,. ,,,Semi Elliptical tyrpe Multi leaf s PR ing ,8.25 X 16 - 16 PR ,90 Ltr,,6140,5-Speed ,,206,2092 (6.8) ,,2650,. ,2590 (8.4) ,,100.5bhp  ,,315Nm ,,DUAL-CABIN-BS-IV,,. ,. ,,,5454,2200,,3490 Kgs,Optional ,. ,,. ,Semi Elliptical tyrpe Multi leaf s PR ing ,8.25 X 16 - 16 PR ,,,,,. ,,Mechanical Steering ,,. ,,,Manual ,,3200,. ,. ,3335 mm,2070 (6.8) 
366,No ,No ,Yes ,,No ,,No ,,No ,No ,Box body ,Air Brakes ,No ,No ,No ,No ,,No ,Day Cabin ,No ,Yes ,Chassis with Cabin ,330 mm dia single plate dry type - hydraulic actuation and clutch booster ,ASHOK-LEYLAND,No ,0 cc,Yes ,2 x 12V / 75Ah ,BS-IV ,H Series CRS ,4,,No ,No ,No ,No ,I section reverse elliot ,Parabolic springs ,8.25 X 20 - 16 PR ,208 Ltr,,11990,6-Speed ,,,,No ,,No ,,,130 bhp  ,,450 Nm  ,,A1-BOSS-1113,No ,No ,No ,,,,,Yes ,,,No ,"Fully floating, single reduction hyphoid axle ",No ,Semi-elliptical multileaf springs ,8.25 X 20 - 16 PR ,No ,Yes ,Standard ,,No ,No ,,No ,No ,,,Manual ,,,No ,No ,0 mm,
367,No ,Yes ,Yes ,,Yes ,No ,No ,,No ,No ,Customizable ,Air Brakes ,No ,No ,No ,No ,. ,No ,NA ,No ,No ,Chassis with Cabin ,"380 mm dia, single plate dry type with clutch booster ",ASHOK-LEYLAND,No ,0 cc,Yes ,24V ,BS-IV ,H series CRS engine with iEGR technology ,. ,,No ,No ,No ,Yes ,"Forged I beam, reverse Elliot type with pusher lift axle ",Semi-elliptic multileaf ,10 x 20-16PR ,400 Ltr,,31000,8-Speed ,. ,. ,No ,Yes ,. ,No ,No ,,180 Bhp  ,. ,660 Nm  ,. ,U-3118-LA,No ,. ,No ,,. ,. ,. ,Yes ,. Kgs,Yes ,No ,"Fully floating, single speed, hypoid with 6.5:1 RAR ",No ,Semi-elliptic multileaf ,10 X 20-16PR ,No ,Yes ,Standard ,,No ,. ,Power Steering ,No ,No ,Yes ,No ,Manual ,Yes ,. ,No ,No ,0 mm,No 
368,No ,Yes ,,,,,No ,,No ,No ,Customizable body ,Air Brakes ,No ,No ,No ,No ,No ,No ,Day Cabin ,No ,No ,Chassis with Cabin ,"Single plate, Power Assisted ",MAN,No ,6900 cc,No ,2X 12V ,BS-IV ,"Di, Turbo Charged Intercooled ",6,,No ,No ,No ,Yes ,"Heavy Duty Straight Forged I-Beam type, Maintence free Hub Bearings ",Prabolic Leaf springs with Double Acting Shock absorbers ,10R20 ,300 Ltr,,40200,9-Speed ,27,277,No ,No ,6420,No ,No ,,255bhp  ,80,950 Nm  ,,CLA-40250-EVO-4X2,No ,No ,No ,,,5860,,No ,33780 Kgs,Yes ,No ,Fully floating single speed Hypoid Axle ,No ,Two stage Semi Elliptical Leaf Springs ,10R20 ,No ,Yes ,Standard ,,No ,No ,Power Steering ,,No ,No ,,Manual ,,7000,No ,No ,3600 mm,No 
369,No ,No ,Yes ,,No ,,No ,,No ,No ,Transit Mixer ,Air Brakes ,No ,No ,No ,No ,,No ,Day Cabin ,No ,Yes ,Chassis with Cabin ,"395mm,Booster assisted push type ",EICHER,No ,5100 cc,Yes ,2 x 24 V - 150 Ah ,BS-IV ,VEDX5 CRS ,4,,No ,No ,No ,No ,,Parabolic leaf spring with 4 leaves Hydraulic Double Acting Telescopic Type ,10.00x20 - 16PR ,220 Ltr,,0,6-Speed ,25.7,256,,No ,,No ,,,210 bhp  ,60,825 Nm  ,,PRO-6025T-TM,No ,No ,No ,,,,2590,Yes ,,Yes ,No ,,No ,Semi elliptic bellcrank with 14 mm leaves ,10.00x20 - 16PR ,No ,Yes ,Standard ,,No ,No ,Power Steering ,No ,No ,,Yes ,Manual ,No ,,No ,No ,4000 mm,
370,No ,Yes ,Yes ,,No ,,No ,,No ,No ,Rock/Scoop Body ,Air Brakes ,No ,No ,No ,No ,,No ,Day Cabin ,No ,Yes ,Chassis with Cabin ,430 mm dia with booster ,ASHOK-LEYLAND,No ,,Yes ,24V (2 x 12V) 150 Ah ,BS-IV ,"N series turbocharged intercooled,CRS ",6,,No ,No ,No ,No ,"Steerable, forged ‘I’ section, reverse elliot type ","Parabolic, uprated springs with shock absorbers and anti-roll bar ",11x20 – 18 PR ,300 Ltr,,33640,9-Speed ,,,,No ,,No ,,,320 bhp  ,,1250 Nm  ,,CAPTAIN-3532,No ,No ,No ,,,,,Yes ,,,No ,Hub reduction with 7.2:1 RAR ,No ,Heavy-duty bogie suspension with V-rod with anti-roll bar ,11x20 – 18 PR ,No ,Yes ,Standard ,,No ,No ,,No ,No ,,,Manual ,,,No ,No ,,
