,A/C,ABS,Adjustable Driver Seat,Alternator (Amps),Arm-rest,Axle Configuration,Axle Types,Battery(Volts),Body Brakes,Body Material,Body Option,Brakes,Bulker Air Inlet Pipe,Bulker Discharge Pipe,Bulker Electricals,Bulker Equipments,Bulker Pressure,Bulker Type,Cabin Type,Canopy Length,Chassis,Chassis Type,Clutch,Company,Cruise Control,Displacement (cc),Driver Information Display,Electricals,Emission Norms,Engine,Engine Cylinders,Engine Displacement,External/Interior Surface,Floor Material,Floor Type,Fog Lights,Front Axle,Front Suspension,Front Tyre,Fuel Tank (Litres),Fuel Type,GVW / GCW (Kgs),Gearbox,Gradeability (%),Ground Clearance (mm),Height {mm (ft.)},Hill Hold,Kerb Weight (Kgs),Landing Gear,Length {mm (ft.)},Loading Platform Area(Sq.ft),Max Power,Max Speed (km/h),Max Torque,Mileage,Model,Navigation System,No. Of Axles,No. Of Valves,Number of Tyre,Overall Height (mm),Overall Length (mm),Overall Width (mm),Parking Brakes,Payload (Kgs),Power Steering,Pump Type,Rear Axle,Rear Board Material,Rear Suspension,Rear Tyre,Refrigerating Unit,Seat Belts,Seat Type,Seating Capacity,Side Board Material,Size (Cu. M),Steering,Telematics,Temperature Range,Tiltable Cabin,Tiltable Steering,Transmission,Tubeless Tyres,Turning Radius (mm),Water Tank Capacity (KL),Water Tank Type,Wheelbase (mm),Width {mm (ft.)}
0,No ,,Yes ,,,,,,,,Deck Body ,Hydraulic Brakes ,,,,,,,Day Cabin ,,Yes ,Chassis with Cabin ,Single plate dry friction type 260 mm dia ,TATA,,2200 cc,Yes ,,BS-VI ,TATA 2.2L DI engine ,4,,,,,,,Semi elliptical leaf springs - 6 leaves ,215/75 R 16 ,45 Ltr,Diesel ,3490,5-Speed ,35,210,,,1790,,2650 (8.7 ft) ,,100 bhp  ,,250 Nm @ 1000-2500 rpm ,,YODHA-1700-BS6,,,,4,5350,5350,1860,Yes ,1700 Kgs,Yes ,,,,Innovative Two stage Semi elliptical leaf springs -9 leaves ,215/75 R 16 ,,Yes ,Standard ,D+1 ,,,Power Steering ,,,,Yes ,Manual ,,3125,,,3150 mm,1850 (6 ft) 
1,No ,No ,Yes ,,No ,4x2 ,,,,,Half Deck Body ,"Front-Disc, Rear-Drum, Duel Circuit Hydraulic ",,,,,,,Day Cabin ,,,Chassis with Cabin ,Single plate dry friction diaphragm ,TATA,No ,702 cc,Yes ,,BS-IV ,275 IDI Diesel ,2,,,,,No ,Rigid Axle ,Parabolic Leaf Spring ,145R12 LT 8PR Radial ,30 Ltr,,1550,4-Speed ,21,160,300(0.98) ,No ,840,,2140(7.02) ,,16 bhp  ,60,38 Nm  ,21.9,ACE,No ,,,,1845,3800,1500,Cable operated mechanical linkages acting on rear wheels ,710 Kgs,No ,,Live axle ,,Parabolic Leaf Spring ,145R12 LT 8PR Radial ,,Yes ,Standard ,D+1 ,,,"Mechanical, Variable Ratio (23.1 to 28.9), 380mm dia. ",YES ,,No ,No ,Manual ,Yes ,4300,,,2100 mm,1430(4.69) 
2,No ,No ,Yes ,,No ,. ,,,,,Deck Body ,Disc-Drum ,,,,,,,Day Cabin ,,,Chassis with Cabin ,240 mm diameter Diaphragm Single Dry plate ,ASHOK-LEYLAND,No ,1478 cc,Yes ,,BS-IV ,1.5 L TDCR Engine Turbo Charged Diesel Common Rail (TDCR) engine ,,,,,,Yes ,,Rigid Suspension with Parabolic Leaf Spring with Double Acting Shock Absorber - 3 Nos ,195 R15 LT8 PR ,40 Ltr,,2750,5-Speed ,,,380(1.2) ,No ,1275,,2645(8.7) ,,60 bhp  ,,170 Nm  ,,DOST,No ,,,4,1900,4630,. ,Yes ,1475 Kgs,No ,,,,Semi Elliptical Leaf Spring Suspension with Double Acting Shock Absorber - 6 Nos ,195 R15 LT8 PR ,,Yes ,Standard ,D+1 ,,,,No ,,No ,Yes ,Manual ,Yes ,,,,2510 mm,1620(5.3) 
3,No ,No ,No ,,No ,,,,,,Deck Body ,Drum Brakes ,,,,,,,Day Cabin ,,,Chasis with Cabin ,,MAHINDRA,No ,625 cc,Yes ,,BS-IV ,"Single cylinder, DI Water Cooled ",1,,,,,No ,,IFS ,R12 ,10.5 Ltr,,1445,4-Speed ,,,300 (1Ft) ,No ,,,2257(7.4 ft) ,,16  bhp   ,,38 Nm  ,,JEETO,No ,,,4,1750,3876,1498,No ,715 Kgs,No ,,,,Semi-trailing arm ,R12 ,,Yes ,Standard ,D+1 ,,,Manual ,No ,,No ,No ,Manual ,No ,,,,2500 mm,1493(4.9 ft) 
4,No ,No ,No ,35,No ,. ,,12,,,Deck Body ,Disc Brakes ,,,,,,,Day Cabin ,,,Chassis with Cabin ,Multi Disc Wet Type ,PIAGGIO,No ,435 cc,No ,,BS-IV ,"Single cylinder,Naturally Aspired Air Cooled ",1,,,,,No ,Rigid Axle ,Helical spring with hydarullic telescopic shock absorber ,"4.50-10,8PR ",10.5 Ltr,,975,4-Speed ,25.21,165,NA ,No ,415,,1480(4.85) ,,8.04 bhp  ,,21 Nm  ,,APE,No ,,,,1635,2930,1490,Yes ,560 Kgs,No ,,Rigid Axle ,,Rubber Compression with hydarullic telescopic shock absorber ,"4.50-10,8PR ",,No ,Standard ,D+1 ,,,Mechanical Steering ,No ,,No ,No ,Manual ,No ,,,,1920 mm,1400(4.59) 
5,No ,,Yes ,,No ,,,,,,Deck Body ,Disc/Drum brakes ,,,,,,,Day Cabin ,,Yes ,Chassis with Cabin ,Single Plate Dry Clutch ,MAHINDRA,No ,2523 cc,Yes ,,BS-VI ,m2DiCR 2.5L TB ,4,,,,,,,Rigid Leaf spring suspension ,195/80 R15 LT ,45 Ltr,Diesel ,2700,5-Speed ,,,458,,1500,,2500,,65 bhp ,,195 Nm  ,,BOLERO-MAXI-TRUCK-PLUS,No ,,,4,1825,4925,1700,Yes ,1200 Kgs,Yes ,,,,Rigid Leaf spring suspension ,195/80 R15 LT ,,Yes ,Standard ,D+1 ,,,Power Steering ,,,,No ,Manual ,No ,,,,3150 mm,1620
6,No ,No ,Yes ,,No ,4x2 ,No ,,. ,No ,Customizable ,Air Brakes ,No ,No ,No ,No ,. ,No ,Day Cabin ,No ,Yes ,Chassis with Cabin ,330 mm dia. ,EICHER,No ,3298 cc,Yes ,No ,BS-IV ,E494 4 Cyl 4V CRS engine with Volvo Group EMS 3.0 ,4,,No ,No ,No ,Yes ,. ,Semi-elliptical laminated leaves (with shock absorber) ,8.25 X 20 - 16 PR ,190 Ltr,,11990,6-Speed ,26,220,No ,No ,,No ,5805(19) ,,135 bhp  ,,450 Nm  ,,PRO-1110,No ,No ,No ,,,,,Yes ,,No ,No ,. ,No ,Semi-elliptical laminated leaves (with shock absorber) ,8.25 X 20 - 16 PR ,No ,Yes ,Standard ,,No ,No ,Manual Steering ,No ,No ,Yes ,Yes ,Manual ,No ,,No ,No ,4300 mm,2125(7) 
7,No ,No ,Yes ,,,,No ,,No ,No ,Box body ,Air Brakes ,No ,No ,No ,No ,No ,No ,Day Cabin ,No ,Yes ,,Single Plate Dry Friction 382 ,TATA,No ,5883 cc,No ,24V ,BS-IV ,CUMMINS IS Be5.9 180 40 ,6,,No ,No ,No ,No ,"Extra Heavy Duty Forges I Beam, Reverse Elliot Type ",Semi-elliptical Leaf spring ,10.00 x 20 - 16 PR ,300 Ltr,,25000,9-Speed ,28,235,,No ,,No ,,,180 bhp  ,,700 Nm  ,,LPK-2518,No ,No ,No ,,,7103,,Yes ,,Yes ,No ,RA 109SRT Extra heavy duty hypoid gears fully floating axle shafts ,No ,,10.00 x 20 - 16 PR ,No ,Yes ,Standard ,,No ,No ,Power Steering ,,No ,No ,Yes ,Manual ,,8500,No ,No ,3880 mm,
8,No ,,Yes ,,No ,,,,,,Deck Body ,Disc/Drum brakes ,,,,,,,Day Cabin ,,Yes ,Chassis with Cabin ,Single Plate dry friction ,MARUTI-SUZUKI,No ,1196 cc,Yes ,,BS-VI ,Multi Point Fuel Injection G12B ,4,,,,,,,Macpherson strut with coil spring ,155R13 LT 8PR ,30 Ltr,Petrol ,1600,5-Speed ,21,,300,,860,,2183,,72 bhp  ,80,98 Nm  ,,SUPER-CARRY,No ,,,4,1883,3800,1562,Yes ,740 Kgs,Yes ,,,,Leaf spring rigid axle ,155R13 LT 8PR ,,Yes ,Standard ,D+1 ,,,Manual - Rack and Pinion Gear ,,,,No ,Manual ,No ,2150,,,2110 mm,1488
9,Optional ,No ,Yes ,,No ,. ,,,,,Cabin load body ,"Front - Disc,  Rear - Drum ",,,,,,,Day Cabin ,,,Hydroform ,Single Plate Dry Friction Diaphragm Type ,TATA,No ,1396 cc,Yes ,,BS-IV ,DI engine ,4,,,,,No ,- ,Semi - elliptical leaf spring (6 leafs) ,165 R14 LT ,35 Ltr,,2300,5-Speed ,45,,,No ,1200,,2512 (8.24 ft) ,,70 bhp  ,80,140 Nm  ,,INTRA-V20,No ,,,4,,4282,1639,Yes ,1100 Kgs,Yes ,,- ,,Semi - elliptical leaf spring (7 leafs) ,165 R14 LT ,,Yes ,Standard ,D+1 ,,,Power Steering (standard fitment) ,No ,,No ,No ,Manual ,Yes ,4750,,,2250 mm,1603
10,No ,,Yes ,,No ,,,,,,Deck Body ,Disc/Drum brakes ,,,,,,,Day Cabin ,,Yes ,Chassis with Cabin ,Single Plate Dry Clutch ,MAHINDRA,No ,2523 cc,Yes ,,BS-VI ,m2DiCR 2.5L TB ,4,,,,,,,Rigid Leaf spring suspension ,7.00 R15 ,57 Ltr,Diesel ,2995/3245 ,5-Speed ,,,650,,1715/1745 ,,2540,,75 bhp  ,,200 Nm  ,,BOLERO-PIKUP,No ,,,4,1865,5219,1700,Yes ,1280/1500 Kgs,Yes ,,,,Rigid Leaf spring suspension ,7.00 R15 ,,Yes ,Standard ,D+1 ,,,Power Steering ,,,,No ,Manual ,No ,,,,3264 mm,1700
11,No ,No ,Yes ,,Yes ,4x2 ,,,,,Half Deck Body ,"Front-Disc, Rear-Drum, Dual Circuit Hydraulic ",,,,,,,Day Cabin ,,,Chassis with Cabin ,Single Plate Dry Friction Diaphragm Type ,TATA,No ,702 cc,Yes ,,BS-IV ,"2 Cylinder, 702 cm3 IDI Engine ",2,,,,,No ,Rigid Axle ,Parabolic Leaf Spring ,145R12 LT 8PR Radial ,30 Ltr,,1550,GBS 65-4/6.31 ,22,150,300 (1Ft) ,No ,840,,2200 (7.2Ft) ,,16 bhp  ,60,39 Nm  ,21.5,ACE-GOLD,No ,,,,1845,3800,1500,Yes ,710 Kgs,No ,,. ,,Parabolic Leaf Spring ,145R12 LT 8PR Radial ,,Yes ,Standard ,D+1 ,,,Mechanical Steering ,YES ,,No ,No ,Manual ,Yes ,4300,,,2100 mm,1490 (4.9Ft) 
12,No ,,Yes ,,No ,,,,,,Deck Body ,Disc/Drum brakes ,,,,,,,Day Cabin ,,Yes ,Chassis with Cabin ,Single Plate Dry Clutch ,MAHINDRA,No ,2523 cc,Yes ,,BS-VI ,m2DiCR 2.5L TB ,4,,,,,,,Coil springs in gold leaf spring in 2WD/4WD ,235/75R 15 ,57 Ltr,Diesel ,2735,5-Speed ,,,750,,1735,,1481,,75 bhp  ,,200 Nm  ,,BOLERO-CAMPER-GOLD,No ,,,4,1855,4859,1700,Yes ,1000 Kgs,Yes ,,,,Rigid axle with leaf spring ,235/75R 15 ,,Yes ,Standard ,D+4 ,,,Power Steering ,,,,No ,Manual ,No ,,,,3014 mm,1532
13,No ,No ,Yes ,,No ,4x4 ,,,,,Deck Body ,Disc Brakes ,,,,,,,Day Cabin ,,,Chassis with Cabin ,Single Plate Dry Clutch ,MAHINDRA,No ,909 cc,No ,,BS-IV ,"4 Stroke park ignition ,water cooled ",2,,,,,No ,Rigid Axle ,Semi- Elliptical Leaf spring with Anti roll Bar ,145/80 R 12 ,33 Ltr,,1815,6-Speed ,,,330(1.08) ,No ,850,,2280(7.48) ,35,19.2 bhp  ,,55 Nm  ,21.9,MAXXIMO,No ,,,,1900,3800,1540,Yes ,965 Kgs,Yes ,,Rigid Axle ,,Rigid with Semi Eliptical Leaf Spring ,145/80 R 12 ,,Yes ,Standard ,D+1 ,,,Power Steering ,,,No ,Yes ,Manual ,Yes ,,,,1950 mm,1540(5.05) 
14,No ,Yes ,No ,,No ,6x4 ,No ,,"Dual circuit, Full Air S-Cam Brake system ",No ,Customizable ,Air Brakes ,No ,No ,No ,No ,,No ,No Cabin ,No ,Ladder type heavy duty frame with rivetted and bolted cross members ,Chassis with Cowl ,Single Plate dry friction type ,TATA,No ,5883 cc,No ,No ,BS-IV ,Cummins ISBe5.9 180 40 BS-IV Common Rail ,6,,No ,No ,No ,No ,"Extra heavy duty Forged ""I"" beam reverse Elliot type Axle, ",Parabolic Spring ,10R20 - 16 PR ,400 Ltr,,37000,6-Speed ,20,250,No ,No ,9595,No ,8320(27) ,,175bhp  ,78,700Nm  ,,LPT-3718,No ,No ,No ,,3025,10807,2434,Yes ,27405 Kgs,Yes ,No ,"Single Speed, Hypoid gear in pressed steel welded beam with differential carrier housing. ",No ,Semi elliptical Leaf spring ,10R20 - 16 PR ,No ,No ,Standard ,,No ,No ,Hydraulic Power-assisted ,No ,No ,No ,No ,Manual ,No ,10950,No ,No ,6225 mm,No 
15,No ,No ,Yes ,,No ,,,12 V ,,,Deck Body ,Hydraulic Brakes ,,,,,,,No Cabin ,,,Monocoque ,Multi Disc Wet Type ,MAHINDRA,No ,935 cc,No ,,BS-IV ,"Single Cylinder ,4-Stroke, S.I Engine ",1,,,,,No ,Rigid Axle ,IFS with McPherson Strut ,"4.50X10"" 8PR ",,,995,4-Speed ,,175,320(1.04) ,No ,540,,1590(5.21) ,,6.3 (+-5%) KW  ,,21.0 Nm  ,,ALFA-LOAD,No ,,,3,1700,3015,1460,Yes ,505 Kgs,No ,,Rigid Axle ,,Leaf Spring with Telescopic shock absorber ,"4.50X10"" 8PR ",,Yes ,Standard ,D+1 ,,,Handle Bar ,,,No ,Yes ,Manual ,Yes ,3500,,,2005 mm,1460(4.79) 
16,No ,No ,No ,NULL ,No ,NULL ,,12,,,Deck Body ,Drum Brakes ,,,,,,,Day Cabin ,,,Chassis with Cabin ,Dry ,BAJAJ,No ,447 cc,No ,,BS-IV ,"Four stroke, Forced air & oil cooled, CI engine ",1,,,,,No ,NULL ,Hydraulic swing arm ,"4.50-10,8PR ",8 Ltr,,990,5-Speed ,18,NULL ,275(0.90) ,No ,518,,1650(5.41) ,NULL ,8.88 bhp  ,50,23 Nm  ,33-35 ,MAXIMA-C,No ,,,3,1818,3230,1493,Yes ,472 Kgs,No ,,NULL ,,Helical coil compression spring ,4.50-10R-8PR ,,No ,Standard ,1,,,Handle Bar ,,,NULL ,No ,Manual ,No ,NULL ,,,2125 mm,1425(4.67) 
17,No ,Yes ,Yes ,,No ,N/A ,NA ,,Hydraullic Brakes ,NA ,Customizable ,Hydraulic Brakes ,NA ,NA ,NA ,NA ,,NA ,Day Cabin ,NA ,Ladder Type ,Chassis with Cabin ,"Single Plate Dry Type, 275 mm ",EICHER,No ,3298 cc,No ,12 V ,BS-IV ,E483 CRS ,4,,NA ,NA ,NA ,No ,,Semi-elliptical laminated leaves (with shock absorber) ,7.00 X 16 - 16 PR ,60 Ltr,,4995,5-Speed ,33,230,NA ,NA ,2316,NA ,NA ,,95 bhp  ,,300 Nm  ,,PRO-1049,No ,NA ,NA ,,,3068,,Yes ,2679 Kgs,No ,NA ,NA ,NA ,Semi-elliptical laminated leaves (with shock absorber) ,7.00 X 16 - 16 PR ,NA ,Yes ,Standard ,,NA ,NA ,Manual ,,NA ,No ,Yes ,Manual ,Yes ,5600,NA ,NA ,2750 mm,NA 
18,No ,No ,Yes ,,No ,,,,,,Deck Body ,Disc Brakes ,,,,,,,Day Cabin ,,,Chassis with Cabin ,"215 mm Diameter, Diaphragm, Single Dry Pot Plate ",ASHOK-LEYLAND,No ,1478 cc,Yes ,,BS-IV ,1.5L Turbo Charged Diesel Common Rail (TDCR) ,3,,,,,No ,,Rigid tubular axle with parabolic leaf spring ,185 R14 LT 8 PR ,40 Ltr,,2545,5-Speed ,29,177,380,No ,1275,,2500,,58 bhp  ,80,157 Nm  ,19.6,DOST-STRONG,No ,,,4,1868,4485,1620,Yes ,1250 Kgs,No ,,,,"Parabolic leaf spring, 2 stages, Over slung ",185 R14 LT 8 PR ,,Yes ,Standard ,D+1 ,,,Manual Steering ,No ,,No ,No ,Manual ,No ,5850,,,2350 mm,1620
19,No ,No ,Yes ,,No ,. ,,,,,Deck Body ,Disc Brakes ,,,,,,,Day Cabin ,,,Chassis with Cabin ,,MAHINDRA,No ,909 cc,Yes ,,BS-IV ,Direct Injection Diesel Engine ,2,,,,,No ,. ,Leaf Spring ,155/80R13 ,33 Ltr,,2090,5-Speed ,,176,330,No ,,,2500,,45  bhp   ,80,98 Nm  ,21.2,SUPRO-MAXITRUCK,No ,,,4,,,,Yes ,1000 Kgs,No ,,. ,,Leaf Spring ,155/80R13 ,,Yes ,Standard ,D+1 ,,,Manual Steering ,No ,,No ,No ,Manual ,No ,,,,2050 mm,1540
20,No ,,Yes ,,No ,4x4 ,,,,,Deck Body ,Disc/Drum brakes ,,,,,,,Day Cabin ,,Yes ,Chassis with Cabin ,Single Plate Dry Clutch ,MAHINDRA,No ,2523 cc,Yes ,,BS-VI ,m2DiCR 2.5L TB ,4,,,,,,,Rigid Leaf spring suspension ,7.00 R15 ,57 Ltr,Diesel ,2735,5-Speed ,,,750,,1720,,2281,,75 bhp  ,,200 Nm  ,,BIG-BOLERO-PIK-UP,No ,,,4,1865,4859,1700,Yes ,1015 Kgs,Yes ,,,,Rigid Leaf spring suspension ,7.00 R15 ,,Yes ,Standard ,D+1 ,,,Power Steering ,,,,No ,Manual ,No ,,,,3014 mm,1532
21,No ,Yes ,No ,,No ,6x2 ,NA ,,Dual Circuit Full Air S-Cam Brake ,No ,Customizable ,Air Brakes ,No ,No ,No ,No ,,No ,No Cabin ,No ,NA ,Chassis with Cowl ,Single Plate dry friction type ,TATA,No ,5883 cc,No ,No ,BS-IV ,Cummins ISBe5.9 180 40 BS-IV Common Rail ,6,,No ,No ,No ,No ,Tata RA 109 RR ,Parabolic Spring ,10 x 20 - 16 PR ,350 Ltr,,25000,6-Speed ,26,250,No ,No ,6000,Yes ,No ,,175bhp  ,77,700Nm  ,,LPT-2518,No ,NA ,No ,,,11853,2440,Yes ,19000 Kgs,Yes ,No ,Tata RA 109 RR ,No ,Semi-elliptical Leaf spring ,10.00 R20-16 PR ,No ,No ,Standard ,,No ,No ,Power Steering ,No ,No ,No ,No ,Manual ,No ,10300,No ,No ,6255 mm,No 
22,No ,,Yes ,,No ,,,12V - 100Ah ,,,Customizable ,Disc Brakes ,,,,,,,Day Cabin ,,Yes ,Chassis with Cabin ,280 mm ,EICHER,Yes ,2000 cc,Yes ,,BS-VI ,"E 366, 4 Valve 2 Liter CRS ",3,,,,,,,Grease free semi elliptical leaves (with anti roll bars) ,225/75 R16 / 7.00x16 - 14PR ,60 Ltr,Diesel ,4995,5-Speed ,34,160,,,,,3177,,100 hp ,,285 Nm  ,,PRO-2049,No ,,,4,,,,Yes ,NA Kgs,Yes ,,,,Grease free semi elliptical leaves (with anti roll bars) ,225/75 R16 / 7.00x16 - 14PR ,,Yes ,Standard ,D+1 ,,,Power Steering ,,,,Yes ,Manual ,,5000,,,2580 mm,1873
23,No ,No ,Yes ,,Yes ,. ,,,,,Cabin with load body ,Disc-Drum ,,,,,,,Day Cabin ,,,Chassis with Cabin ,Single plate dry friction type 260 mm dia ,TATA,No ,2956 cc,No ,,BS-IV ,Tata 4SP CR 4 cylinder ,4,,,,,Yes ,,Rigid Suspension with leaf spring & Shock absorber ,215/75 R 16 radial ,45 Ltr,,2950,5-Speed ,30,210,,No ,1930,,1780(8.4) ,,85 bhp  ,80,250 Nm ,,YODHA,No ,,,,1810,5350,1860,Yes ,1020 Kgs,Yes ,,,,Semielliptical type with Hydraulic Double Acting Telescopic Shock Absorber ,215/75 R 16 radial ,,Yes ,Standard ,D+4 ,,,Power Steering ,No ,,No ,Yes ,Manual ,Yes ,6250,,,3150 mm,1750(5.7) 
24,No ,No ,Yes ,,No ,,,,,,Deck Body ,,,,,,,,Day Cabin ,,Yes ,Chassis with Cabin ,Single Plate Dry Friction Diaphragm Type ,TATA,No ,,Yes ,,BS-VI ,Tata 275 Gasoline MPFI 4 Stroke Water cooled ,,,,,,,,Parabolic Leaf Spring ,145R12 LT 8PR ,,Petrol ,1615,,,,300,,865,,2200,,30 bhp ,,55 Nm @ 2500-3000 rpm ,,ACE-GOLD-BS6,No ,,,4,1840,3800,1500,Yes ,750 Kgs,,,,,Semi-elliptical Leaf spring ,145R12 LT 8PR ,,Yes ,Standard ,D+1 ,,,,,,,,Manual ,Optional ,,,,2100 mm,1490
25,No ,No ,Yes ,,No ,4x2 ,,,,,Half Deck Body ,"Front-Disc, Rear-Drum, Duel Circuit Hydraulic ",,,,,,,Day Cabin ,,,Chassis with Cabin ,Single plate dry friction diaphragm ,TATA,No ,702 cc,Yes ,,BS-IV ,"2 cylinder, water cooled engine ",2,,,,,No ,Rigid Axle ,Parabolic Leaf spring with Anti roll Bar ,155R12 LT 8PR ,30 Ltr,,1630,4-Speed ,20.5,160,300(1) ,No ,920,,2450(8) ,,16 bhp  ,60,39 Nm  ,21.9,ACE-XL,No ,,,,1845,4075,1500,Yes ,710 Kgs,No ,,Hypoid gear axle ,,Live axle with Parabolic Leaf spring ,155R12 LT 8PR ,,Yes ,Standard ,D+1 ,,,Mechanical Steering ,YES ,,No ,No ,Manual ,Yes ,4625,,,2250 mm,1430(4.8) 
26,No ,No ,Yes ,,No ,4x2 ,No ,,Air Brakes ,No ,Customizable ,Air Brakes ,No ,No ,No ,No ,No ,No ,Day Cabin ,No ,No ,Chassis with Cabin ,Single Plate dry friction type(330 mm) ,TATA,No ,3783 cc,Yes ,12 V ,BS-IV ,"Tata 407 TCIC
Common Rail Direct Injection Engine ",4,,No ,No ,No ,Yes ,"Heavy Duty Forged I Beam, Reverse Elliot Type ",Semi-elliptical Leaf spring ,8.25 x 20-16 ,160 Ltr,,12990,6-Speed ,18,225,NA ,No ,4670,No ,6665,,123.3bhp  ,80,400Nm  ,,LPT-1109-HEX2,No ,No ,No ,,,6665,,Graduated Valve-controlled Spring Brake Chamber Integral with Rear Brake Actuator ,8320 Kgs,Yes ,No ,"Single Reduction, Hypoid Gears, ",No ,Semi-elliptical Leaf spring ,8.25 x 20-16 ,No ,Yes ,Standard ,,No ,No ,Power Steering ,No ,No ,Yes ,No ,Manual ,No ,7400,No ,No ,3600 mm,NA 
27,No ,No ,Yes ,,Yes ,,,,,,Deck Body ,Disc-Drum ,,,,,,,Day Cabin ,,,Chassis with Cabin ,Single plate dry friction type 260 mm dia ,TATA,No ,2956 cc,No ,,BS-IV ,Tata 4SP CR 4 cylinder BSIV ,4,,,,,Yes ,,Double Wishbone Type with Torsion Bar. ,215/75 R 16 radial ,65 Ltr,,2950,5-Speed ,30,210,,No ,1920,,1430(4.7) ,,85 bhp  ,80,250 Nm ,,XENON,No ,,,,1765,5125,1860,Yes ,1030 Kgs,Yes ,,,,Parabolic Leaf Springs. ,215/75 R 16 radial ,,Yes ,Standard ,D+4 ,,,Power Steering ,No ,,No ,Yes ,Manual ,Yes ,6000,,,3150 mm,1410(4.6) 
28,No ,Yes ,Yes ,,Yes ,No ,No ,,No ,No ,Customizable ,Air Brakes ,No ,No ,No ,No ,. ,No ,NA ,No ,No ,Chassis with Cowl ,"380 mm dia, single plate dry type with clutch booster ",ASHOK-LEYLAND,No ,0 cc,Yes ,2 X 12V ,BS-IV ,H series CRS engine with iEGR technology ,,,No ,No ,No ,Yes ,"Twin steerable front axles and pusher lift axle, ",Semi-elliptic multileaf with equalizer link rod in rear ,10R 20 16PR ,400 Ltr,,37000,9-Speed ,,,No ,Yes ,,No ,No ,,180 Bhp  ,,660 Nm  ,,3718,No ,. ,No ,,,,,Yes ,,Yes ,No ,"Fully floating, single speed hypoid, with 6.17:1 RAR ",No ,Semi-elliptic multileaf with equalizer link rod in rear ,10R 20 16PR ,No ,Yes ,Standard ,,No ,. ,Power Steering ,No ,No ,Yes ,No ,Manual ,Yes ,,No ,No ,0 mm,No 
29,Optional ,No ,Yes ,,No ,,,,,,Deck Body ,,,,,,,,Day Cabin ,,,Chassis with Cabin ,215 mm ,ASHOK-LEYLAND,No ,1478 cc,Yes ,,BS-IV ,Turbo Charged Diesel Common Rail ,3,,,,,No ,,,185 R14 ,40 Ltr,,2545,,,,380,No ,1250,,2500,,58 bhp  ,,157 Nm  ,,DOST-LITE,No ,,,4,,,,Yes ,1250 Kgs,Yes ,,,,,185 R14 ,,Yes ,Standard ,D+1 ,,,Power Steering ,No ,,No ,No ,Manual ,No ,,,,2350 mm,1620
30,No ,No ,Yes ,,No ,. ,,,,,Deck Body ,Disc Brakes ,,,,,,,Day Cabin ,,,Chassis with Cabin ,,MAHINDRA,No ,909 cc,Yes ,,BS-IV ,Direct Injection Diesel Engine ,2,,,,,No ,. ,Leaf Spring ,145 R 12 ,33 Ltr,,1870,4-Speed ,,158,330,No ,,,2280,,26  bhp   ,70,55 Nm  ,23.17,SUPRO-MINITRUCK,No ,,,4,,,,Yes ,850 Kgs,Yes ,,. ,,Leaf Spring ,145 R 12 ,,Yes ,Standard ,D+1 ,,,Power Steering ,No ,,No ,No ,Manual ,Yes ,,,,1950 mm,1540
31,Yes ,No ,Yes ,,No ,. ,,,,,Deck Body ,Disc and Drum Brakes ,,,,,,,Day Cabin ,,,Chassis with Cabin ,Single plate dry friction type 260 mm dia ,TATA,No ,2956 cc,Yes ,,BS-IV ,Tata 4SPCR TCIC 4 cylinder ,4,,,,,No ,. ,Double Wishbone Independent coil springs ,700 R - 16 12 PR ,60 Ltr,,2950,5-Speed ,25,210,1700(5.6) ,No ,1910,,,,85bhp  ,80,250 Nm  ,,207-RX-COMMON-RAIL,No ,,,,1810,5280,1810,Yes ,1040 Kgs,Yes ,,. ,,Semi Elliptical Leaf Springs ,700 R - 16 12 PR ,,Yes ,Standard ,D+1 ,,,Power Steering ,No ,,No ,Yes ,Manual ,Yes ,6350,,,3150 mm,2550(8.4) 
32,No ,,Yes ,,,,,,,,Deck Body ,Hydraulic Brakes ,,,,,,,Day Cabin ,,Yes ,Chassis with Cabin ,Single Plate Dry Friction Diaphragm Type ,TATA,,1500 cc,Yes ,"12V, 55 Ah ",BS-VI ,1.5L DI Engine ,,1500,,,,,,Semi-elliptical Leaf Springs ,185 R14 LT 8PR ,,Diesel ,2565,5-Speed ,,,2690 (8.8 ft) ,,1300,,,,70  bhp   ,,140 Nm @ 1800-3000 rpm ,,INTRA-V30-BS6,,,,4,,,,Yes ,,Power Steering ,,,,Semi-elliptical Leaf Springs ,185 R14 LT 8PR ,,Yes ,Standard ,D+1 ,,,Power Steering ,,,,,Manual ,,,,,2450 mm,
33,No ,No ,Yes ,,,,No ,,No ,No ,Deck Body ,Air Brakes ,No ,No ,No ,No ,No ,No ,Day Cabin ,No ,Yes ,Chassis with Cabin ,330 mm dia single plate dry type - hydraulic actuation ,ASHOK-LEYLAND,No ,,Yes ,12V ,BS-IV ,H series Common Rail System ,4,,No ,No ,No ,No ,I section reverse elliot ,Shackle-ended multileaf springs ,9.00 R 20 16 PR ,200 Ltr,Diesel ,16100,6-Speed ,,,,No ,,No ,,,130 bhp  ,,450 Nm  ,,ECOMET-1214,No ,No ,No ,,,,,Yes ,9979 Kgs,,No ,Heavy duty hyphoid axle ,No ,Shackle-ended multileaf springs ,9.00 R 20 16 PR ,No ,Yes ,Standard ,,No ,No ,,,No ,No ,,Manual ,,7350,No ,No ,,
