,Model,Power,GVW,Payload,Fueltank,Engine,WheelBase,Image & Other Details
368,Man CLA 40.250 EVO 4X2,255bhp ,GVW 40200,33780,300,6900,3600,https://trucks.cardekho.com/en/trucks/man/cla-40250-evo-4x2
369,Eicher Pro 6025T TM,210 bhp ,GVW 25000,,220,7698,4000,https://trucks.cardekho.com/en/trucks/eicher/pro-6025t-tm
370,Ashok Leyland Captain 3532,320 bhp ,GVW 33640,,300,,,https://trucks.cardekho.com/en/trucks/ashok-leyland/captain-3532
371,Piaggio Ape E City,7 bhp ,GVW 689,--,--,,1920,https://trucks.cardekho.com/en/trucks/piaggio/ape-e-city
372,Eicher Pro 6046,250 bhp ,GVW 45500,,380,7700,3650,https://trucks.cardekho.com/en/trucks/eicher/pro-6046
373,Amw 2518 Drilling Rig,178bhp ,GVW 25000,,240,--,--,https://trucks.cardekho.com/en/trucks/amw/2518-drilling-rig
374,Eicher Pro 1110XP Reefer Van,135 bhp ,GVW 12976,,190,--,4300,https://trucks.cardekho.com/en/trucks/eicher/pro-1110xp-reefer-van
375,Mahindra Blazo X 40 SWB,273 bhp ,GVW 35000,,330,7200,3075,https://trucks.cardekho.com/en/trucks/mahindra/blazo-x-35-swb
376,SML Isuzu Super BS-IV,99.1bhp ,GVW 8720,5870,180,3455,3940,https://trucks.cardekho.com/en/trucks/sml-isuzu/super-bs-iv
377,SML Isuzu Reefer Van BS-IV,99.1bhp ,GVW 10250,,90,3455,4760,https://trucks.cardekho.com/en/trucks/sml-isuzu/reefer-van-bs-iv
378,SML Isuzu Sartaj GS HG 72 BS-6,100 bhp ,GVW 7490,,90,3455,3335,https://trucks.cardekho.com/en/trucks/sml-isuzu/sartaj-gs-hg-72-bs-6
379,Eicher Pro 6025T FE,210 bhp ,GVW 25000,,220,5100,4000,https://trucks.cardekho.com/en/trucks/eicher/pro-6025t-fe
380,Eicher Pro 1055DSD,95 bhp ,GVW 6250,,60,--,2815,https://trucks.cardekho.com/en/trucks/eicher/pro-1055dsd
381,Eicher Pro 8028XM,330 bhp ,GVW 28000,,315,7700,4585,https://trucks.cardekho.com/en/trucks/eicher/pro-8028xm
382,Kamaz 2523 6x4,212 bhp ,GVW 25000,12000,300,5900,4320,https://trucks.cardekho.com/en/trucks/kamaz/2523-6x4
383,Amw 3118 TP,178bhp ,GVW 31000,18440,240,5883,5535,https://trucks.cardekho.com/en/trucks/amw/3118-tp
384,Ashok Leyland Captain 2832,320 bhp ,GVW 27320,,208,,,https://trucks.cardekho.com/en/trucks/ashok-leyland/captain-2832
385,SML Isuzu Dual Cabin,99.1bhp ,GVW 6140,3490,90,3455,3335,https://trucks.cardekho.com/en/trucks/sml-isuzu/dual-cabin
386,Eicher Pro 1055K,95 bhp ,GVW 5490,,60,--,2815,https://trucks.cardekho.com/en/trucks/eicher/pro-1055k
387,SML Isuzu Closed Van BS-IV,99.1bhp ,GVW 10250,,180,3455,4760,https://trucks.cardekho.com/en/trucks/sml-isuzu/closed-van-bs-iv
388,Amw 2516 TM,154.7 bhp ,GVW 25000,18140,240,5883,4300,https://trucks.cardekho.com/en/trucks/amw/2516-tm
389,Ashok Leyland U 2518 R/1,180bhp ,GVW 25000,19000,300,5660,--,https://trucks.cardekho.com/en/trucks/ashok-leyland/u-2518-r1
390,Eicher Pro 6025 Reefer Van,180 bhp ,GVW 25000,,380,5500,5300,https://trucks.cardekho.com/en/trucks/eicher/pro-6025-reefer-van
391,SML Isuzu Cosmo BS-IV,99.1bhp ,GVW 7200,4680,,3455,2815,https://trucks.cardekho.com/en/trucks/sml-isuzu/cosmo-bs-iv
392,Eicher Pro 1059XP Reefer Van,95 bhp ,GVW 7200,,100,--,3350,https://trucks.cardekho.com/en/trucks/eicher/pro-1059xp-reefer-van
393,SML Isuzu Super 12,100.5bhp ,GVW 5990,4560,90,3455,3940,https://trucks.cardekho.com/en/trucks/sml-isuzu/super-12
394,SML Isuzu Sartaj GS HG 75 MS Container BS-6,100 bhp ,GVW 7490,,90,3455,3940,https://trucks.cardekho.com/en/trucks/sml-isuzu/sartaj-gs-hg-75-ms-container-bs-6
395,SML Isuzu Water Tanker Truck BS-IV,99.1bhp ,GVW 6180,,90,3455,3335,https://trucks.cardekho.com/en/trucks/sml-isuzu/water-tanker-truck-bs-iv
396,Piaggio Ape City HT,10.86 bhp ,GVW 695,,18.13,197,1920,https://trucks.cardekho.com/en/trucks/piaggio/ape-city-ht
397,SML Isuzu Sartaj HG 75 BS-6,100 bhp ,GVW 7490,,90,3455,3335,https://trucks.cardekho.com/en/trucks/sml-isuzu/sartaj-hg-75-bs-6
398,Kamaz 6520 6x4,316bhp ,GVW 25000,10500,210,11760,4300,https://trucks.cardekho.com/en/trucks/kamaz/6520-6x4
399,Man CLA 49.250 EVO 6X4,255bhp ,GVW 49000,41100,300,6900,3890,https://trucks.cardekho.com/en/trucks/man/cla-49250-evo-6x4
400,SML Isuzu Recovery Van BS-IV,99.1bhp ,GVW 6200,,90,3455,2515,https://trucks.cardekho.com/en/trucks/sml-isuzu/recovery-van-bs-iv
401,SML Isuzu Samrat 21 BS-IV,99.1bhp ,GVW 10250,6900,90,3455,4760,https://trucks.cardekho.com/en/trucks/sml-isuzu/samrat-21-bs-iv
402,Kamaz 6540 8x4,276bhp ,GVW 31000,14000,250,11760,3640,https://trucks.cardekho.com/en/trucks/kamaz/6540-8x4
403,SML Isuzu Dumper Placer BS-IV,99.1bhp ,GVW 6440,,90,3455,3335,https://trucks.cardekho.com/en/trucks/sml-isuzu/dumper-placer-bs-iv
404,SML Isuzu Troop Carrier BS-IV,99.1bhp ,GVW 6200,,90,3455,2515,https://trucks.cardekho.com/en/trucks/sml-isuzu/troop-carrier-bs-iv
405,SML Isuzu Prison Van BS-IV,99.1bhp ,GVW 6440,,90,3455,3335,https://trucks.cardekho.com/en/trucks/sml-isuzu/prison-van-bs-iv
406,Kamaz 3123 8x4,212 bhp ,GVW 31000,20100,300,5900,5360,https://trucks.cardekho.com/en/trucks/kamaz/3123-8x4
407,Amw 2516 HL,152.8bhp ,GVW 25000,18700,400,5883,5020,https://trucks.cardekho.com/en/trucks/amw/2516-hl
408,Amw 2518 HL,178bhp ,GVW 25000,17770,240,5883,5000,https://trucks.cardekho.com/en/trucks/amw/2518-hl
409,Amw 3118 HL,178bhp ,GVW 31000,22550,240,5883,5660,https://trucks.cardekho.com/en/trucks/amw/3118-hl
410,Amw 3518 TR,178bhp ,GVW 35200,30170,240,5883,3100,https://trucks.cardekho.com/en/trucks/amw/3518-tr
411,Amw 4018 TR,178bhp ,GVW 40200,34765,240,5883,3100,https://trucks.cardekho.com/en/trucks/amw/4018-tr
412,Amw 2518 TM,178bhp ,GVW 25000,17720,240,5883,4300,https://trucks.cardekho.com/en/trucks/amw/2518-tm
413,Amw 3118 TM,178bhp ,GVW 31000,21990,240,5883,5535,https://trucks.cardekho.com/en/trucks/amw/3118-tm
414,Amw 3123 Concrete Pump,178bhp ,GVW 31000,,240,--,--,https://trucks.cardekho.com/en/trucks/amw/3123-concrete-pump
415,Man CLA 40.300 EVO 4X2,300bhp ,GVW 40200,33840,300,6900,3600,https://trucks.cardekho.com/en/trucks/man/cla-40300-evo-4x2
416,Eicher Pro 1075 ALC,110 bhp ,GVW 7450,,100,--,3765,https://trucks.cardekho.com/en/trucks/eicher/pro-1075-alc
417,Mahindra Blazo X 28 TRANSIT MIXER,273 bhp ,GVW 28000,,235,7200,4250,https://trucks.cardekho.com/en/trucks/mahindra/blazo-x-25-transit-mixer
418,Atul GEM Cargo Petrol,11 bhp ,GVW 995,,7.5,198,1925,https://trucks.cardekho.com/en/trucks/atul/gem-cargo-petrol
419,Atul GEMINI Cargo,11 bhp ,GVW 350,,7.5,198,1918,https://trucks.cardekho.com/en/trucks/atul/gemini-cargo
420,Atul Gemini,9 bhp ,GVW 665,,10.5,198,1918,https://trucks.cardekho.com/en/trucks/atul/gemini
421,Atul Shakti Passanger,8 bhp ,GVW 700,,7,435,1960,https://trucks.cardekho.com/en/trucks/atul/shakti-passanger
