,Model,Power,GVW,Payload,Fueltank,Engine,WheelBase,Image & Other Details
232,Ashok Leyland 1618 T/C,180bhp ,GVW 16200,,212,5660,--,https://trucks.cardekho.com/en/trucks/ashok-leyland/1618-tc
233,Eicher 10.90 E2 Plus,91bhp ,GVW 8720,,,3298,4065,https://trucks.cardekho.com/en/trucks/eicher/1090-e2-plus
234,Volvo FM 400 HD,400bhp ,GVW 160000,150290,445,12800,3885,https://trucks.cardekho.com/en/trucks/volvo/fm-400-hd
235,Mahindra OPTIMO BS IV,80 ,GVW 5950,3435,,--,3320,https://trucks.cardekho.com/en/trucks/mahindra/optimo-bs-iv
236,BharatBenz 2823C BS6,241 bhp,GVW 28000,,215,7200,4275,https://trucks.cardekho.com/en/trucks/bharat-benz/2823c-bs6
237,Eicher Pro 6028,210 bhp ,GVW 28000,,380,--,5300,https://trucks.cardekho.com/en/trucks/eicher/pro-6028
238,Ashok Leyland U 3718,180 Bhp ,GVW 37000,,400,--,--,https://trucks.cardekho.com/en/trucks/ashok-leyland/u-3718
239,TVS King 4S,8 bhp ,GVW 385,,20.6,199,,https://trucks.cardekho.com/en/trucks/tvs/king-4s
240,Atul GEM Delivery Van,8 bhp ,GVW 995,,10.5,435,1925,https://trucks.cardekho.com/en/trucks/atul/gem-delivery-van
241,Eicher Pro 6019T,210 bhp ,GVW 18500,,220,5100,3635,https://trucks.cardekho.com/en/trucks/eicher/pro-6019t
242,Scania R500,500bhp ,GVW 49000,39270,500,16000,3778,https://trucks.cardekho.com/en/trucks/scania/r500
243,SML Isuzu Samrat HD 19 BS-IV,99.1bhp ,GVW 10250,6750,90,3455,4760,https://trucks.cardekho.com/en/trucks/sml-isuzu/samrat-hd-19-bs-iv
244,Tata SFC 407 CNG,123.3 bhp ,GVW 10400,,160,3783,3400,https://trucks.cardekho.com/en/trucks/tata/sfc-407-cng
245,Tata Prima LX 3130.K,300 bhp ,GVW 31000,,,6700,5250,https://trucks.cardekho.com/en/trucks/tata/prima-lx-3130k
246,Tata PRIMA 2530.K,300 bhp ,GVW 25000,,,6700,4570,https://trucks.cardekho.com/en/trucks/tata/prima-2530k
247,Tata Ultra T 7 Twin Tyre,83 bhp ,GVW 7490,,60,2956,3550,https://trucks.cardekho.com/en/trucks/tata/ultra-t-7-twin-tyre
248,Tata Prima LX 2525.K,242 bhp ,GVW 25000,,,6700,3950,https://trucks.cardekho.com/en/trucks/tata/prima-lx-2525k
249,Volvo FM 440 6x4,440bhp ,GVW 125000,116450,445,12800,3885,https://trucks.cardekho.com/en/trucks/volvo/fm-440-6x4
250,Mahindra Bolero Maxitruck CNG BS6,67 bhp ,GVW 2750,1150,150,2523,3150,https://trucks.cardekho.com/en/trucks/mahindra/bolero-maxitruck-cng-bs6
251,Tata Ultra EX 3021.S BS6,200 bhp,GVW 30000,14250,565,5000,3320,https://trucks.cardekho.com/en/trucks/tata/ultra-ex-3021-s-bs6
252,Eicher Pro 6042,210 bhp ,GVW 42000,,350,--,6600,https://trucks.cardekho.com/en/trucks/eicher/pro-6042
253,Mahindra E-Alfa mini,1 bhp ,GVW 758,,,,2168,https://trucks.cardekho.com/en/trucks/mahindra/e-alfa-mini
254,Eicher Pro 1059XP CNG,83 bhp ,GVW 7200,,270,--,3350,https://trucks.cardekho.com/en/trucks/eicher/pro-1059xp-cng
255,Mahindra Bolero Pikup CNG BS6,67 bhp ,GVW 2990,1190,140,2523,3264,https://trucks.cardekho.com/en/trucks/mahindra/bolero-pikup-cng-bs6
256,Tata LPK 3118 9S RMC,241.8 bhp ,GVW 31000,,300,5883,5580,https://trucks.cardekho.com/en/trucks/tata/lpk-3118-9s-rmc
257,Tata LPK 1615 TC,158 bhp ,GVW 16200,,160,5883,3580,https://trucks.cardekho.com/en/trucks/tata/lpk-1615-tc
258,Tata LPT 709 Ex CNG,81.9 bhp ,GVW 7490,4370,300,3783,3800,https://trucks.cardekho.com/en/trucks/tata/lpt-709-ex-cng
259,Tata LPT 810 Ex2,123.2 bhp ,GVW 8720,,160,--,3400,https://trucks.cardekho.com/en/trucks/tata/lpt-810-ex2
260,Tata Signa 4623.S,227 bhp ,GVW 45500,,400,5883,3200,https://trucks.cardekho.com/en/trucks/tata/signa-4623s
261,Mahindra Blazo X 28 6S,273 bhp ,GVW 28000,,235,7200,4250,https://trucks.cardekho.com/en/trucks/mahindra/blazo-x-25-6s
262,Tata LPT 909 EX2,123.2 bhp ,GVW 9600,,160,--,3400,https://trucks.cardekho.com/en/trucks/tata/lpt-909-ex2
263,SML Isuzu Samrat BS-IV,99.1bhp ,GVW 10250,6900,90,3455,4760,https://trucks.cardekho.com/en/trucks/sml-isuzu/samrat-bs-iv
264,Scania R580 V8 Puller,580bhp ,GVW 200000,190000,500,15600,4023,https://trucks.cardekho.com/en/trucks/scania/r580-v8-puller
265,Ashok Leyland CAPTAIN 3123,230bhp ,GVW 31000,--,300,--,--,https://trucks.cardekho.com/en/trucks/ashok-leyland/captain-3123
266,Mahindra DI3200 JAYO CNG,68 bhp ,GVW 4850,2550,120,2500,2650,https://trucks.cardekho.com/en/trucks/mahindra/di3200-jayo-cng
267,Mahindra BLAZO X 42 PUSHER AXLE,273 bhp ,GVW 42000,,330,7200,6650,https://trucks.cardekho.com/en/trucks/mahindra/blazo-x-42-pusher-axle
268,Man CLA 25.250 EVO 6X4,255bhp ,GVW 25000,13145,300,6900,4525,https://trucks.cardekho.com/en/trucks/man/cla-25250-evo-6x4
269,SML Isuzu Prestige BS-IV,99.1bhp ,GVW 6440,3640,90,3455,3335,https://trucks.cardekho.com/en/trucks/sml-isuzu/prestige-bs-iv
270,BharatBenz 3528C BS6,281 bhp ,GVW 35000,,215,7200,5175,https://trucks.cardekho.com/en/trucks/bharat-benz/3528c-bs6
271,Volvo FM 400,400bhp ,GVW 31000,14270,270,12800,6970,https://trucks.cardekho.com/en/trucks/volvo/fm-400
272,Tata LPT 1618 5 L Turbotronn,177 bhp ,GVW 16200,,,5005,4225,https://trucks.cardekho.com/en/trucks/tata/lpt-1618-5-l-turbotronn
273,Mahindra Blazo X 35 8x4 TIPPER,273 bhp ,GVW 35000,,200,7200,5300,https://trucks.cardekho.com/en/trucks/mahindra/blazo-x-31-8x4-tipper
274,Amw 1618 TP,178bhp ,GVW 16200,8400,220,5883,4040,https://trucks.cardekho.com/en/trucks/amw/1618-tp
275,Ashok Leyland Captain 2518,180 Bhp ,GVW 25000,--,208,--,--,https://trucks.cardekho.com/en/trucks/ashok-leyland/captain-2518
276,Tata LPT 407 EX2 CNG,83 bhp ,GVW 7250,4390,240,3783,3400,https://trucks.cardekho.com/en/trucks/tata/lpt-407-ex2-cng
277,Ashok Leyland A1 Boss 1213,130 bhp ,GVW 12900,,208,--,--,https://trucks.cardekho.com/en/trucks/ashok-leyland/a1-boss-1213
278,Scania G310 6x2,310 bhp ,GVW 49000,,6000,9000,3950,https://trucks.cardekho.com/en/trucks/scania/g310-6x2
279,Volvo FM 370,370bhp ,GVW 40000,25840,270,10800,4085,https://trucks.cardekho.com/en/trucks/volvo/fm-370
280,Atul ELITE Cargo,850 / 1000 W,GVW 699,,,--,--,https://trucks.cardekho.com/en/trucks/atul/elite-cargo
281,Hino 500 FM8J,247bhp ,GVW 25000,,200,7684,4240,https://trucks.cardekho.com/en/trucks/hino/500-fm8j
282,Mahindra Furio 12,140 bhp ,GVW 11990,,190,3500,4500,https://trucks.cardekho.com/en/trucks/mahindra/furio-12
283,Tata Prima LX 4930.S,290.7 bhp ,GVW 49000,--,400,6700,3890,https://trucks.cardekho.com/en/trucks/tata/prima-lx-4930s
284,BharatBenz 1215R BS6,147 bhp ,GVW 11990,,171,3900,4250,https://trucks.cardekho.com/en/trucks/bharat-benz/1215r-bs6
285,BharatBenz 3528CM BS6,281 bhp ,GVW 35000,,215,7200,5175,https://trucks.cardekho.com/en/trucks/bharat-benz/3528cm-bs6
286,Ashok Leyland Boss 913 Tipper,130 bhp ,GVW 10700,,105,--,--,https://trucks.cardekho.com/en/trucks/ashok-leyland/boss-913-tipper
287,Tata LPTK 2518,179 bhp ,GVW 25000,,300,5883,3880,https://trucks.cardekho.com/en/trucks/tata/lptk-2518
288,Ashok Leyland U 4923,225 Bhp ,GVW 49000,,400,--,--,https://trucks.cardekho.com/en/trucks/ashok-leyland/u-4923
289,Tata Signa 2518.K,178 HP ,GVW 25000,13846,300,5883,3880,https://trucks.cardekho.com/en/trucks/tata/signa-2518k
290,Ashok Leyland Captain 3718,180 Bhp ,GVW 37000,,400,--,--,https://trucks.cardekho.com/en/trucks/ashok-leyland/captain-3718
291,Eicher Pro 6040,250 bhp ,GVW 40200,,380,7700,3650,https://trucks.cardekho.com/en/trucks/eicher/pro-6040
292,Piaggio Ape DX BS6,9.39 bhp,GVW 780,560,10.5,597.7,1920,https://trucks.cardekho.com/en/trucks/piaggio/ape-dx-bs6
293,Mahindra Blazo X 42 TAG AXLE,273 bhp ,GVW 42000,,330,7200,6100,https://trucks.cardekho.com/en/trucks/mahindra/blazo-x-37-tag-axle
294,Ashok Leyland 2518 C/4,180bhp ,GVW 25000,19000,300,5660,--,https://trucks.cardekho.com/en/trucks/ashok-leyland/2518-c4
295,Eicher Pro 6028T,250 bhp ,GVW 28000,,220,7700,4000,https://trucks.cardekho.com/en/trucks/eicher/pro-6028t
296,Tata Signa 2818.T AMT,177 bhp ,GVW 28000,,,5883,6750,https://trucks.cardekho.com/en/trucks/tata/signa-2818t-amt
297,Eicher Pro 8049 6x4,280 bhp ,GVW 49000,40230,405,7700,4085,https://trucks.cardekho.com/en/trucks/eicher/pro-8049-6x4
298,Tata PRIMA LX 4025.S,242 bhp ,GVW 40200,,,6700,3460,https://trucks.cardekho.com/en/trucks/tata/prima-lx-4025s
299,Eicher Pro 8025T,280 bhp ,GVW 25000,,210,7700,4085,https://trucks.cardekho.com/en/trucks/eicher/pro-8025-t
300,Mahindra OPTIMO BSIV Light Duty,70 ,GVW 5950,3370,,--,3320,https://trucks.cardekho.com/en/trucks/mahindra/optimo-bsiv-light-duty
301,Ashok Leyland Captain 3118,180 Bhp ,GVW 31000,--,400,--,--,https://trucks.cardekho.com/en/trucks/ashok-leyland/captain-3118
302,Man CLA 16.250 EVO 4X2,255bhp ,GVW 16200,7865,200,6900,3600,https://trucks.cardekho.com/en/trucks/man/cla-16250-evo-4x2
303,Eicher Pro 8031T,280 bhp ,GVW 31000,16285,210,7700,5285,https://trucks.cardekho.com/en/trucks/eicher/pro-8031-t
304,Eicher Pro 3012,135 bhp ,GVW 11990,,190,--,3800,https://trucks.cardekho.com/en/trucks/eicher/pro-3012
305,Tata Ultra 814,139 bhp ,GVW 8750,,160,--,3310,https://trucks.cardekho.com/en/trucks/tata/ultra-814
306,BharatBenz 5028T BS6,281 bhp ,GVW 49960,,455,7200,3600,https://trucks.cardekho.com/en/trucks/bharat-benz/5028t-bs6
307,Mahindra OPTIMO BSIV HEAVY DUTY,90 ,GVW 6950,3585,,3300,2500,https://trucks.cardekho.com/en/trucks/mahindra/optimo-bsiv-heavy-duty
308,Eicher Pro 5019T,192 bhp ,GVW 18100,,220,5700,3485,https://trucks.cardekho.com/en/trucks/eicher/pro-5019t
309,Scania G460 Puller,460bhp ,GVW 150000,139850,500,12700,4023,https://trucks.cardekho.com/en/trucks/scania/g460-puller
310,SML Isuzu Sartaj CNG,100.5bhp ,GVW 5990,4560,90,3455,3335,https://trucks.cardekho.com/en/trucks/sml-isuzu/sartaj-cng
311,Mahindra Blazo X 46,273 bhp ,GVW 40200,,330,7200,3600,https://trucks.cardekho.com/en/trucks/mahindra/blazo-x-40
312,Ashok Leyland U 3518,180Bhp ,GVW 35000,,400,--,--,https://trucks.cardekho.com/en/trucks/ashok-leyland/u-3518
313,Ashok Leyland 3118 xl/1,180 Bhp ,GVW 31000,,400,--,--,https://trucks.cardekho.com/en/trucks/ashok-leyland/3118-xl1
314,Eicher Pro 8031XM,330 bhp ,GVW 31000,,315,7700,5285,https://trucks.cardekho.com/en/trucks/eicher/pro-8031xm
315,Eicher Pro 5040,192 bhp ,GVW 40200,,415,5700,3175,https://trucks.cardekho.com/en/trucks/eicher/pro-5040
316,Tata LPT 810 CRX,123.2 bhp ,GVW 8720,,160,--,3400,https://trucks.cardekho.com/en/trucks/tata/lpt-810-crx
317,Eicher 11.10 E2 Plus WT,91bhp ,GVW 11950,,,3298,3800,https://trucks.cardekho.com/en/trucks/eicher/1110-e2-plus-wt
318,Ashok Leyland 4019,180 Bhp ,GVW 40000,,400,--,--,https://trucks.cardekho.com/en/trucks/ashok-leyland/4019
319,Piaggio Ape DXL,8.05 bhp ,GVW 752,,10.5,435,2100,https://trucks.cardekho.com/en/trucks/piaggio/ape-dxl
320,Scania P410 6x2,410bhp ,GVW 44000,35590,600,13000,3750,https://trucks.cardekho.com/en/trucks/scania/p410-6x2
321,Man CLA 31.300 EVO 8X4,300bhp ,GVW 31000,14230,200,6900,5300,https://trucks.cardekho.com/en/trucks/man/cla-31300-evo-8x4
322,Scania P360,360bhp ,GVW 40200,32715,1000,13000,3550,https://trucks.cardekho.com/en/trucks/scania/p360
323,Scania R500 V8 Puller,500bhp ,GVW 150000,139529,500,16000,4023,https://trucks.cardekho.com/en/trucks/scania/r500-v8-puller
324,Mahindra Blazo X 28 9S,273 bhp ,GVW 28000,,235,7200,4250,https://trucks.cardekho.com/en/trucks/mahindra/blazo-x-25-9s
325,Eicher Pro 1075 CNG,83 bhp ,GVW 7450,,270,--,3515,https://trucks.cardekho.com/en/trucks/eicher/pro-1075-cng
326,Lohia Comfort,351,Wheelbase 2035,400,,--,2035,https://trucks.cardekho.com/en/trucks/lohia/comfort
327,Eicher Pro 5028,192 bhp ,GVW 28000,,395,5700,4900,https://trucks.cardekho.com/en/trucks/eicher/pro-5028
328,Hino 500 FL8J,210bhp ,GVW 25000,,200,7684,4780,https://trucks.cardekho.com/en/trucks/hino/500-fl8j
329,Kamaz 6460 6x4,355 bhp ,GVW 49000,38800,350,11760,3735,https://trucks.cardekho.com/en/trucks/kamaz/6460-6x4
330,Man CLA 25.300 EVO 6X4,300bhp ,GVW 25000,11140,300,6900,4525,https://trucks.cardekho.com/en/trucks/man/cla-25300-evo-6x4
331,Amw 2523 TP,235bhp ,GVW 25000,17210,220,5883,4300,https://trucks.cardekho.com/en/trucks/amw/2523-tp
332,Ashok Leyland CAPTAIN 2523 HR,230bhp ,GVW 25000,19000,208,--,--,https://trucks.cardekho.com/en/trucks/ashok-leyland/captain-2523-hr
333,Eicher Pro 1080XP(DSD),114 bhp ,GVW 8750,,60,--,2815,https://trucks.cardekho.com/en/trucks/eicher/pro-1080xpdsd
334,SML Isuzu Sartaj 59 xm,99.1bhp ,GVW 5990,,90,3455,2815,https://trucks.cardekho.com/en/trucks/sml-isuzu/sartaj-59-xm
335,Ashok Leyland Captain 3723,230 Bhp ,GVW 37000,,400,--,--,https://trucks.cardekho.com/en/trucks/ashok-leyland/captain-3723
336,BharatBenz 2828C BS6,281 bhp ,GVW 28000,,215,7200,4275,https://trucks.cardekho.com/en/trucks/bharat-benz/2828c-bs6
337,Man CLA 49.300 EVO 6X4,300bhp ,GVW 49000,41100,300,6900,3890,https://trucks.cardekho.com/en/trucks/man/cla-49300-evo-6x4
338,Eicher Pro 6055TT,250 bhp ,GVW 55000,,350,7700,--,https://trucks.cardekho.com/en/trucks/eicher/pro-6055tt
339,Kinetic DX,2 bhp,GVW 704,,,--,2118,https://trucks.cardekho.com/en/trucks/kinetic/dx
340,SML Isuzu Samrat GS Tipper Chassis BS-6,115 bhp ,GVW 9500,,,3455,2815,https://trucks.cardekho.com/en/trucks/sml-isuzu/samrat-gs-tipper-chassis-bs-6
341,Eicher Pro 1095T,114 bhp ,GVW 9500,,100,--,3515,https://trucks.cardekho.com/en/trucks/eicher/pro-1095-t
342,SML Isuzu Sartaj GS HG 72 CNG,7200,Wheelbase 3335,,,3455,3335,https://trucks.cardekho.com/en/trucks/sml-isuzu/sartaj-gs-hg-72-cng
343,Mahindra Blazo X 42 TAG AXLE COWL,273 bhp ,GVW 42000,,330,7200,6100,https://trucks.cardekho.com/en/trucks/mahindra/blazo-x-37-tag-axle-cowl
344,SML Isuzu Samrat GS CNG,107 bhp ,GVW 10250,,60,3455,4240,https://trucks.cardekho.com/en/trucks/sml-isuzu/samrat-gs-cng
345,Ashok Leyland Guru 1010,120 bhp ,GVW 11120,,185,--,--,https://trucks.cardekho.com/en/trucks/ashok-leyland/guru-1010
346,Atul Elite,850/1000 W,GVW 699,,,--,--,https://trucks.cardekho.com/en/trucks/atul/elite
347,Amw 2528 TP,267bhp ,GVW 25000,12050,220,6700,4300,https://trucks.cardekho.com/en/trucks/amw/2528-tp
348,SML Isuzu Samrat GS BS-6,10700,Wheelbase 2815,,,,2815,https://trucks.cardekho.com/en/trucks/sml-isuzu/samrat-gs-bs-6
349,Kinetic Safar Smart,2 bhp,GVW 725,,,--,2000,https://trucks.cardekho.com/en/trucks/kinetic/safar-smart
350,Eicher 10.75 E2 Plus WT,91bhp ,GVW 7450,3700,100,3298,3515,https://trucks.cardekho.com/en/trucks/eicher/1075-e2-plus-wt
351,Mahindra Blazo X 28 BOOM PUMP,273 bhp ,GVW 28000,,235,7200,5000,https://trucks.cardekho.com/en/trucks/mahindra/blazo-x-25-boom-pump
352,Mahindra Furio 12 Reefer,140 bhp ,GVW 11990,,190,3500,4500,https://trucks.cardekho.com/en/trucks/mahindra/furio-12-reefer
353,Eicher 10.90 E2 Plus WT,91bhp ,GVW 8720,,,3298,3515,https://trucks.cardekho.com/en/trucks/eicher/1090-e2-plus-wt
354,Eicher Pro 5016M Container LL,170 bhp ,GVW 16200,,395,5700,5340,https://trucks.cardekho.com/en/trucks/eicher/pro-5016m-container-ll
355,Piaggio Ape Plus,8.04 bhp ,GVW 725,,10.5,435,1920,https://trucks.cardekho.com/en/trucks/piaggio/ape-plus
356,BharatBenz 2828CH BS6,281 bhp ,GVW 27600,,215,7200,4275,https://trucks.cardekho.com/en/trucks/bharat-benz/2828ch-bs6
357,Man CLA 31.300 EVO 8X2,300bhp ,GVW 31000,20225,200,6900,5740,https://trucks.cardekho.com/en/trucks/man/cla-31300-evo-8x2
358,Tata LPT 810 HEX 2,8720,Wheelbase 3400,5408,,--,3400,https://trucks.cardekho.com/en/trucks/tata/lpt-810-hex-2
359,Amw 3116 HL,152.8bhp ,GVW 31000,23510,400,5883,4040,https://trucks.cardekho.com/en/trucks/amw/3116-hl
360,Ashok Leyland 2518 6S NRS,180 Bhp ,GVW 25000,,200,--,--,https://trucks.cardekho.com/en/trucks/ashok-leyland/2518-6s-nrs
361,Atul Gem Paxx,8 bhp ,GVW 995,,10.5,435,1925,https://trucks.cardekho.com/en/trucks/atul/gem-paxx
362,Amw 4923 TR,235bhp ,GVW 44000,36310,400,5883,3850,https://trucks.cardekho.com/en/trucks/amw/4923-tr
363,Eicher Pro 1055T,95 bhp ,GVW 6250,,60,--,2815,https://trucks.cardekho.com/en/trucks/eicher/pro-1055-t
364,BharatBenz 1215RE BS6,147 bhp ,GVW 12800,,171/160,3900,3360,https://trucks.cardekho.com/en/trucks/bharat-benz/1215re-bs6
365,SML Isuzu Dual Cabin BS-IV,100.5bhp ,GVW 6140,3490,90,3455,3335,https://trucks.cardekho.com/en/trucks/sml-isuzu/dual-cabin-bs-iv
366,Ashok Leyland A1 Boss 1113,130 bhp ,GVW 11990,,208,--,--,https://trucks.cardekho.com/en/trucks/ashok-leyland/a1-boss-1113
367,Ashok Leyland U 3118 LA,180 Bhp ,GVW 31000,--,400,--,--,https://trucks.cardekho.com/en/trucks/ashok-leyland/u-3118-la
